00000.sift,0
0,1
1,1
2,0
3,30
4,0
5,2
6,0
7,4
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,14
17,3
18,1
19,1
20,2
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,2
29,0
30,1
31,0
32,0
33,2
34,0
35,0
36,2
37,6
38,0
39,3
40,2
41,1
42,0
43,0
44,0
45,1
46,0
47,0
48,2
49,2
00001.sift,0
0,2
1,0
2,0
3,11
4,2
5,1
6,1
7,4
8,3
9,6
10,5
11,2
12,1
13,1
14,0
15,0
16,1
17,0
18,3
19,2
20,0
21,1
22,3
23,1
24,2
25,0
26,5
27,0
28,2
29,4
30,0
31,1
32,0
33,0
34,0
35,9
36,2
37,3
38,1
39,2
40,1
41,0
42,0
43,4
44,1
45,1
46,0
47,6
48,1
49,0
00002.sift,0
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,1
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,17
19,0
20,0
21,1
22,1
23,0
24,0
25,0
26,0
27,3
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
00003.sift,0
0,1
1,0
2,0
3,1
4,0
5,0
6,0
7,11
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,2
17,0
18,0
19,0
20,2
21,0
22,0
23,0
24,0
25,0
26,0
27,2
28,0
29,3
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,11
38,0
39,1
40,0
41,1
42,0
43,0
44,0
45,5
46,0
47,0
48,3
49,0
00004.sift,0
0,4
1,0
2,1
3,17
4,0
5,0
6,0
7,9
8,2
9,6
10,0
11,0
12,2
13,0
14,0
15,0
16,5
17,0
18,12
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,3
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,6
38,0
39,2
40,0
41,0
42,0
43,0
44,2
45,3
46,1
47,0
48,2
49,0
00005.sift,0
0,1
1,0
2,1
3,7
4,1
5,0
6,0
7,2
8,0
9,1
10,0
11,0
12,3
13,0
14,0
15,0
16,2
17,0
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,1
28,0
29,2
30,0
31,2
32,0
33,0
34,1
35,0
36,0
37,5
38,0
39,2
40,1
41,0
42,0
43,0
44,2
45,0
46,0
47,0
48,6
49,0
00006.sift,0
0,1
1,0
2,0
3,3
4,1
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,3
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,4
38,0
39,1
40,0
41,0
42,0
43,0
44,1
45,1
46,0
47,0
48,8
49,0
00007.sift,0
0,0
1,0
2,0
3,2
4,0
5,0
6,0
7,3
8,1
9,2
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,4
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,2
32,0
33,0
34,3
35,2
36,0
37,3
38,0
39,0
40,0
41,3
42,0
43,2
44,4
45,0
46,0
47,0
48,0
49,0
00008.sift,0
0,1
1,0
2,0
3,4
4,0
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,3
17,0
18,0
